table,game,buttons,sound,saves,first,loop,recipe,skip,loopskip,anchor0,anchor,land,pair,late,rows,alias
intro990_la_stereo__r-ltap,fr,la,stereo,multi,990,off,ltap,select,,995,995,0,start-a,start,1684,
intro990_single_help_mono__r-rel1100,fr,help,mono,single,990,off,rel1100,select,,993,993,0,start-a,,33,
la_mono__r-l0-held,fr,la,mono,multi,none,off,l0-held,,,1743,1743,0,start-a,start,2595,
la_mono__r-ltap,fr,la,mono,multi,none,off,ltap,,,1743,1743,0,start-a,start,1674,
la_mono__r-ltap-soft,fr,la,mono,multi,none,off,ltap-soft,,,1953,1953,482,start-a,start,2595,
la_mono__r-ltap-soft-ltap2,fr,la,mono,multi,none,off,ltap-soft-ltap2,,,1954,1954,482,start-a,start,1760,
la_mono__r-r0-held,fr,la,mono,multi,none,off,r0-held,,,1743,1743,0,start-a,start,2595,
la_mono__r-start0-ltap-soft,fr,la,mono,multi,none,off,start0-ltap-soft,,,1953,1953,482,start-a,start,2310,
la_mono__r-start0-ltap-soft-ltap2,fr,la,mono,multi,none,off,start0-ltap-soft-ltap2,,,1954,1954,482,start-a,start,1629,
la_mono__r-start0-soft,fr,la,mono,multi,none,off,start0-soft,,,1952,1952,481,start-a,start,2474,
la_mono__r-x-b-start,fr,la,mono,multi,none,off,x-b-start,,,1742,1742,0,b-start,,262,
la_mono__r-x-start-b,fr,la,mono,multi,none,off,x-start-b,,,1742,1742,0,,start-b,2333,
la_stereo__r-ltap,fr,la,stereo,multi,none,off,ltap,,,1743,1743,0,start-a,start,1700,
la_stereo__r-ltap-soft,fr,la,stereo,multi,none,off,ltap-soft,,,1953,1953,482,start-a,start,2595,
la_stereo__r-ltap-soft-ltap2,fr,la,stereo,multi,none,off,ltap-soft-ltap2,,,1954,1954,482,start-a,start,1765,
la_stereo__r-start0-ltap-soft,fr,la,stereo,multi,none,off,start0-ltap-soft,,,1953,1953,482,start-a,start,2315,
la_stereo__r-start0-ltap-soft-ltap2,fr,la,stereo,multi,none,off,start0-ltap-soft-ltap2,,,1954,1954,482,start-a,start,1654,
la_stereo__r-start0-soft,fr,la,stereo,multi,none,off,start0-soft,,,1952,1952,481,start-a,start,2474,
loop477-990_la_mono__r-repress,fr,la,mono,multi,477,990,repress,select,select,482,4059,0,start-a,start,2595,
loop477-990_la_stereo__r-repress,fr,la,stereo,multi,477,990,repress,select,select,482,4059,0,start-a,start,2595,
loop477-990_single_help_mono__r-repress,fr,help,mono,single,477,990,repress,select,select,481,4058,0,start-a,start,2595,
loop477-990_single_help_stereo__r-repress,fr,help,stereo,single,477,990,repress,select,select,481,4058,0,start-a,start,2595,
loop477-990_single_la_mono__r-repress,fr,la,mono,single,477,990,repress,select,select,481,4058,0,start-a,start,2595,
loop477-990_single_la_stereo__r-repress,fr,la,stereo,single,477,990,repress,select,select,481,4058,0,start-a,start,2595,
loop990-477_help_mono__r-ltap,fr,help,mono,multi,990,477,ltap,select,start,995,4060,0,,a,1466,
loop990-477_help_stereo__r-ltap,fr,help,stereo,multi,990,477,ltap,select,start,995,4060,0,,a,1429,
loop990-477_la_mono__r-ltap,fr,la,mono,multi,990,477,ltap,select,start,995,4060,0,,a,1436,
loop990-477_la_stereo__r-ltap,fr,la,stereo,multi,990,477,ltap,select,start,995,4060,0,,a,1474,
loop990-990_help_mono__r-ltap,fr,help,mono,multi,990,990,ltap,select,start,995,4572,0,,a,1435,
loop990-990_help_stereo__r-ltap,fr,help,stereo,multi,990,990,ltap,select,start,995,4572,0,,a,1414,
loop990-990_la_mono__r-ltap,fr,la,mono,multi,990,990,ltap,select,start,995,4572,0,,a,1463,
loop990-990_la_mono__r-repress,fr,la,mono,multi,990,990,repress,select,select,994,4571,0,start-a,start,2595,
loop990-990_la_stereo__r-repress,fr,la,stereo,multi,990,990,repress,select,select,994,4571,0,start-a,start,2595,
loop990-990_single_help_mono__r-repress,fr,help,mono,single,990,990,repress,select,select,993,4570,0,start-a,start,2595,
loop990-990_single_help_stereo__r-repress,fr,help,stereo,single,990,990,repress,select,select,993,4570,0,start-a,start,2595,
loop990-990_single_la_mono__r-repress,fr,la,mono,single,990,990,repress,select,select,993,4570,0,start-a,start,2595,
loop990-990_single_la_stereo__r-repress,fr,la,stereo,single,990,990,repress,select,select,993,4570,0,start-a,start,2595,
